
X: 452.850341796875, Y: -118.438720703125), Z: -811.386108398438, Timestamp: 468018825.944377
X: 478.82080078125, Y: -140.228271484375), Z: -823.257446289062, Timestamp: 468018825.954546
X: 504.638671875, Y: -148.300170898438), Z: -827.7587890625, Timestamp: 468018825.964095
X: 516.326904296875, Y: -132.553100585938), Z: -826.324462890625, Timestamp: 468018825.974085
X: 513.992309570312, Y: -103.225708007812), Z: -813.53759765625, Timestamp: 468018825.984348
X: 507.369995117188, Y: -87.1429443359375), Z: -798.309326171875, Timestamp: 468018825.994265
X: 510.787963867188, Y: -83.6944580078125), Z: -792.449951171875, Timestamp: 468018826.004435
X: 522.201538085938, Y: -87.005615234375), Z: -797.882080078125, Timestamp: 468018826.014393
X: 530.45654296875, Y: -115.798950195312), Z: -799.407958984375, Timestamp: 468018826.024143
X: 533.50830078125, Y: -123.10791015625), Z: -808.731079101562, Timestamp: 468018826.034189
X: 514.083862304688, Y: -110.061645507812), Z: -825.790405273438, Timestamp: 468018826.044317
X: 491.073608398438, Y: -85.3118896484375), Z: -853.118896484375, Timestamp: 468018826.054295
X: 473.907470703125, Y: -54.1534423828125), Z: -880.447387695312, Timestamp: 468018826.064086
X: 460.159301757812, Y: -18.5546875), Z: -894.561767578125, Timestamp: 468018826.074293
X: 447.036743164062, Y: 3.814697265625), Z: -900.360107421875, Timestamp: 468018826.084123
X: 439.651489257812, Y: 1.312255859375), Z: -894.454956054688, Timestamp: 468018826.094102
X: 430.862426757812, Y: -7.5531005859375), Z: -904.23583984375, Timestamp: 468018826.10413
X: 441.055297851562, Y: 10.6353759765625), Z: -955.673217773438, Timestamp: 468018826.114154
X: 455.780029296875, Y: 24.9786376953125), Z: -1022.81188964844, Timestamp: 468018826.124549
X: 472.564697265625, Y: 30.0445556640625), Z: -1077.23999023438, Timestamp: 468018826.134194
X: 480.987548828125, Y: 29.144287109375), Z: -1104.20227050781, Timestamp: 468018826.144179
X: 486.038208007812, Y: 21.3623046875), Z: -1114.02893066406, Timestamp: 468018826.154731
X: 506.53076171875, Y: 1.983642578125), Z: -1104.32434082031, Timestamp: 468018826.164206
X: 518.096923828125, Y: -15.5181884765625), Z: -1086.27319335938, Timestamp: 468018826.174232
X: 506.607055664062, Y: -6.8206787109375), Z: -1067.61169433594, Timestamp: 468018826.184172
X: 490.203857421875, Y: 0.3509521484375), Z: -1054.3212890625, Timestamp: 468018826.194596
X: 469.223022460938, Y: -24.7802734375), Z: -1044.96765136719, Timestamp: 468018826.205211
X: 461.715698242188, Y: -61.5386962890625), Z: -1032.24182128906, Timestamp: 468018826.214339
X: 449.569702148438, Y: -81.2225341796875), Z: -1014.60266113281, Timestamp: 468018826.22424
X: 426.559448242188, Y: -101.974487304688), Z: -997.390747070312, Timestamp: 468018826.23419
X: 410.507202148438, Y: -125.6103515625), Z: -987.075805664062, Timestamp: 468018826.244252
X: 404.739379882812, Y: -140.335083007812), Z: -978.759765625, Timestamp: 468018826.25476
X: 399.71923828125, Y: -134.033203125), Z: -966.476440429688, Timestamp: 468018826.264599
X: 397.140502929688, Y: -125.732421875), Z: -960.098266601562, Timestamp: 468018826.274245
X: 406.906127929688, Y: -115.875244140625), Z: -949.8291015625, Timestamp: 468018826.284224
X: 422.149658203125, Y: -108.88671875), Z: -938.125610351562, Timestamp: 468018826.294297
X: 442.489624023438, Y: -115.066528320312), Z: -928.89404296875, Timestamp: 468018826.30487
X: 475.89111328125, Y: -137.771606445312), Z: -926.589965820312, Timestamp: 468018826.314364
X: 508.48388671875, Y: -134.536743164062), Z: -924.25537109375, Timestamp: 468018826.324325
X: 523.147583007812, Y: -118.743896484375), Z: -933.59375, Timestamp: 468018826.334594
X: 539.382934570312, Y: -110.29052734375), Z: -946.380615234375, Timestamp: 468018826.344416
X: 559.219360351562, Y: -114.990234375), Z: -958.694458007812, Timestamp: 468018826.355017
X: 583.450317382812, Y: -114.288330078125), Z: -976.898193359375, Timestamp: 468018826.364417
X: 607.0556640625, Y: -101.837158203125), Z: -991.668701171875, Timestamp: 468018826.374361
X: 620.742797851562, Y: -87.5396728515625), Z: -983.367919921875, Timestamp: 468018826.384431
X: 623.123168945312, Y: -81.1614990234375), Z: -965.744018554688, Timestamp: 468018826.394276
X: 622.085571289062, Y: -77.2552490234375), Z: -947.601318359375, Timestamp: 468018826.404464
X: 616.119384765625, Y: -75.3631591796875), Z: -938.766479492188, Timestamp: 468018826.414476
X: 610.671997070312, Y: -74.920654296875), Z: -936.294555664062, Timestamp: 468018826.424792
X: 611.236572265625, Y: -80.780029296875), Z: -949.03564453125, Timestamp: 468018826.43447
X: 616.744995117188, Y: -86.5936279296875), Z: -954.452514648438, Timestamp: 468018826.444415
X: 615.280151367188, Y: -88.0889892578125), Z: -951.507568359375, Timestamp: 468018826.454984
X: 599.334716796875, Y: -77.9571533203125), Z: -935.287475585938, Timestamp: 468018826.464412
X: 578.628540039062, Y: -84.991455078125), Z: -918.075561523438, Timestamp: 468018826.474493
X: 570.220947265625, Y: -85.0830078125), Z: -906.784057617188, Timestamp: 468018826.484516
X: 564.193725585938, Y: -77.301025390625), Z: -904.78515625, Timestamp: 468018826.494826
X: 561.737060546875, Y: -77.8045654296875), Z: -910.659790039062, Timestamp: 468018826.504508
X: 573.562622070312, Y: -74.76806640625), Z: -918.533325195312, Timestamp: 468018826.51448
X: 587.783813476562, Y: -63.385009765625), Z: -932.769775390625, Timestamp: 468018826.524513
X: 601.638793945312, Y: -62.7593994140625), Z: -950.454711914062, Timestamp: 468018826.534488
X: 617.111206054688, Y: -75.347900390625), Z: -958.358764648438, Timestamp: 468018826.544518
X: 631.65283203125, Y: -92.83447265625), Z: -952.560424804688, Timestamp: 468018826.554487
X: 640.716552734375, Y: -107.925415039062), Z: -931.549072265625, Timestamp: 468018826.564789
X: 652.52685546875, Y: -102.920532226562), Z: -920.318603515625, Timestamp: 468018826.574535
X: 658.782958984375, Y: -88.19580078125), Z: -926.681518554688, Timestamp: 468018826.585062
X: 655.807495117188, Y: -86.7462158203125), Z: -932.55615234375, Timestamp: 468018826.594632
X: 647.232055664062, Y: -114.212036132812), Z: -937.942504882812, Timestamp: 468018826.604541
X: 637.14599609375, Y: -141.220092773438), Z: -921.295166015625, Timestamp: 468018826.614638
X: 613.479614257812, Y: -149.261474609375), Z: -897.705078125, Timestamp: 468018826.624564
X: 579.940795898438, Y: -157.89794921875), Z: -870.162963867188, Timestamp: 468018826.635604
X: 542.892456054688, Y: -163.131713867188), Z: -828.903198242188, Timestamp: 468018826.644639
X: 500.808715820312, Y: -161.07177734375), Z: -783.69140625, Timestamp: 468018826.654587
X: 458.648681640625, Y: -153.640747070312), Z: -738.95263671875, Timestamp: 468018826.66463
X: 415.054321289062, Y: -148.178100585938), Z: -695.693969726562, Timestamp: 468018826.674611
X: 372.039794921875, Y: -151.016235351562), Z: -657.333374023438, Timestamp: 468018826.685166
X: 335.342407226562, Y: -144.012451171875), Z: -637.603759765625, Timestamp: 468018826.694649
X: 313.034057617188, Y: -139.328002929688), Z: -627.243041992188, Timestamp: 468018826.704658
X: 286.346435546875, Y: -141.036987304688), Z: -619.308471679688, Timestamp: 468018826.714676
X: 261.215209960938, Y: -148.590087890625), Z: -623.641967773438, Timestamp: 468018826.724927
X: 243.560791015625, Y: -161.956787109375), Z: -620.651245117188, Timestamp: 468018826.735064
X: 234.710693359375, Y: -166.44287109375), Z: -623.077392578125, Timestamp: 468018826.744713
X: 234.7412109375, Y: -168.39599609375), Z: -626.022338867188, Timestamp: 468018826.754715
X: 241.775512695312, Y: -136.04736328125), Z: -622.085571289062, Timestamp: 468018826.764687
X: 236.4501953125, Y: -102.84423828125), Z: -610.275268554688, Timestamp: 468018826.775069
X: 235.794067382812, Y: -90.6219482421875), Z: -596.054077148438, Timestamp: 468018826.784729
X: 245.376586914062, Y: -107.177734375), Z: -581.893920898438, Timestamp: 468018826.79473
X: 247.74169921875, Y: -141.403198242188), Z: -572.647094726562, Timestamp: 468018826.804832
X: 253.463745117188, Y: -165.802001953125), Z: -575.13427734375, Timestamp: 468018826.814831
X: 266.66259765625, Y: -151.992797851562), Z: -585.44921875, Timestamp: 468018826.824814
X: 280.075073242188, Y: -113.70849609375), Z: -601.62353515625, Timestamp: 468018826.834792
X: 293.533325195312, Y: -78.8421630859375), Z: -623.184204101562, Timestamp: 468018826.84511
X: 307.586669921875, Y: -53.2684326171875), Z: -634.46044921875, Timestamp: 468018826.854907
X: 320.816040039062, Y: -41.900634765625), Z: -638.900756835938, Timestamp: 468018826.864815
X: 322.341918945312, Y: -45.318603515625), Z: -637.939453125, Timestamp: 468018826.874861
X: 321.319580078125, Y: -43.365478515625), Z: -636.459350585938, Timestamp: 468018826.884848
X: 320.220947265625, Y: -33.0963134765625), Z: -643.295288085938, Timestamp: 468018826.894548
X: 338.027954101562, Y: -31.951904296875), Z: -678.131103515625, Timestamp: 468018826.904846
X: 377.670288085938, Y: -35.980224609375), Z: -721.389770507812, Timestamp: 468018826.915125
X: 428.054809570312, Y: -28.167724609375), Z: -781.79931640625, Timestamp: 468018826.924904
X: 487.579345703125, Y: -39.3524169921875), Z: -861.373901367188, Timestamp: 468018826.935187
X: 562.01171875, Y: -57.7392578125), Z: -944.915771484375, Timestamp: 468018826.944933
X: 631.912231445312, Y: -70.3125), Z: -980.941772460938, Timestamp: 468018826.95538
X: 666.397094726562, Y: -60.2264404296875), Z: -954.605102539062, Timestamp: 468018826.965576
X: 667.587280273438, Y: -38.238525390625), Z: -882.080078125, Timestamp: 468018826.974982
X: 635.955810546875, Y: -43.914794921875), Z: -813.90380859375, Timestamp: 468018826.984942
X: 604.095458984375, Y: -70.6329345703125), Z: -766.799926757812, Timestamp: 468018826.99489
X: 585.586547851562, Y: -96.74072265625), Z: -753.0517578125, Timestamp: 468018827.005291
X: 579.89501953125, Y: -115.371704101562), Z: -784.393310546875, Timestamp: 468018827.01562
X: 581.35986328125, Y: -153.488159179688), Z: -852.035522460938, Timestamp: 468018827.02497
X: 582.778930664062, Y: -188.186645507812), Z: -903.518676757812, Timestamp: 468018827.034976
X: 557.662963867188, Y: -196.731567382812), Z: -906.875610351562, Timestamp: 468018827.044936
X: 507.125854492188, Y: -188.858032226562), Z: -899.826049804688, Timestamp: 468018827.054992
X: 463.729858398438, Y: -201.004028320312), Z: -881.072998046875, Timestamp: 468018827.065523
X: 434.63134765625, Y: -207.626342773438), Z: -869.216918945312, Timestamp: 468018827.075413
X: 427.490234375, Y: -229.18701171875), Z: -911.346435546875, Timestamp: 468018827.085017
X: 440.017700195312, Y: -283.843994140625), Z: -975.128173828125, Timestamp: 468018827.094984
X: 431.503295898438, Y: -357.772827148438), Z: -1022.216796875, Timestamp: 468018827.105078
X: 415.390014648438, Y: -416.122436523438), Z: -1055.52673339844, Timestamp: 468018827.11552
X: 402.374267578125, Y: -443.618774414062), Z: -1082.45849609375, Timestamp: 468018827.125079
X: 404.72412109375, Y: -431.854248046875), Z: -1119.67468261719, Timestamp: 468018827.135056
X: 405.807495117188, Y: -394.6533203125), Z: -1155.8837890625, Timestamp: 468018827.145343
X: 406.417846679688, Y: -360.382080078125), Z: -1185.22644042969, Timestamp: 468018827.155095
X: 391.357421875, Y: -341.445922851562), Z: -1187.60681152344, Timestamp: 468018827.165305
X: 371.490478515625, Y: -334.77783203125), Z: -1167.93823242188, Timestamp: 468018827.189666
X: 358.596801757812, Y: -332.94677734375), Z: -1132.12585449219, Timestamp: 468018827.190017
X: 353.134155273438, Y: -333.49609375), Z: -1090.97290039062, Timestamp: 468018827.195192
X: 347.183227539062, Y: -333.06884765625), Z: -1072.34191894531, Timestamp: 468018827.207497
X: 354.660034179688, Y: -336.9140625), Z: -1086.07482910156, Timestamp: 468018827.221023
X: 364.181518554688, Y: -347.579956054688), Z: -1106.70471191406, Timestamp: 468018827.225278
X: 381.423950195312, Y: -341.064453125), Z: -1119.00329589844, Timestamp: 468018827.235175
X: 396.6064453125, Y: -328.216552734375), Z: -1113.1591796875, Timestamp: 468018827.245194
X: 412.368774414062, Y: -324.661254882812), Z: -1092.14782714844, Timestamp: 468018827.255163
X: 419.387817382812, Y: -332.916259765625), Z: -1070.14465332031, Timestamp: 468018827.265187
X: 424.850463867188, Y: -336.3037109375), Z: -1045.66955566406, Timestamp: 468018827.275159
X: 425.399780273438, Y: -342.1630859375), Z: -1041.76330566406, Timestamp: 468018827.285525
X: 449.40185546875, Y: -362.97607421875), Z: -1073.71520996094, Timestamp: 468018827.29524
X: 491.02783203125, Y: -369.44580078125), Z: -1088.56201171875, Timestamp: 468018827.305201
X: 515.07568359375, Y: -353.57666015625), Z: -1091.07971191406, Timestamp: 468018827.31533
X: 537.765502929688, Y: -347.503662109375), Z: -1102.4169921875, Timestamp: 468018827.325257
X: 556.411743164062, Y: -335.113525390625), Z: -1097.07641601562, Timestamp: 468018827.33525
X: 558.151245117188, Y: -314.544677734375), Z: -1102.44750976562, Timestamp: 468018827.345201
X: 569.747924804688, Y: -290.46630859375), Z: -1120.57495117188, Timestamp: 468018827.355684
